drug_name,list_of_conditions,inn_name,brand_names,type_of_action
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-vylibra lo 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-vylibra lo 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,femcon fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,femcon fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,aubra 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,aubra 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,evra,modulator
ethinylestradiol,contraceptive,ethinylestradiol,evra,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,levonest 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,levonest 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,rivelsa 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,rivelsa 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-lo- estarylla 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-lo- estarylla 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,leena 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,leena 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,select,modulator
ethinylestradiol,contraceptive,ethinylestradiol,select,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,zumandimine 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,zumandimine 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,generess fe 28,modulator
ethinylestradiol,contraceptive,ethinylestradiol,generess fe 28,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,larin 1/20,modulator
ethinylestradiol,contraceptive,ethinylestradiol,larin 1/20,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,daysee 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,daysee 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,jaimiess 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,jaimiess 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-sprintec 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-sprintec 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,ayuna 28 day pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,ayuna 28 day pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,simpesse,modulator
ethinylestradiol,contraceptive,ethinylestradiol,simpesse,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,charlotte 24 fe chewable 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,charlotte 24 fe chewable 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,alyacen 1/35,modulator
ethinylestradiol,contraceptive,ethinylestradiol,alyacen 1/35,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cryselle 28,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cryselle 28,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,kariva 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,kariva 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,fayosim 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,fayosim 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,kelnor 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,kelnor 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-lo-mili,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-lo-mili,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-lo-sprintec,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-lo-sprintec,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,simliya,modulator
ethinylestradiol,contraceptive,ethinylestradiol,simliya,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nortrel 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nortrel 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,yaz plus,modulator
ethinylestradiol,contraceptive,ethinylestradiol,yaz plus,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,microgestin 24 fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,microgestin 24 fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,zafemy,modulator
ethinylestradiol,contraceptive,ethinylestradiol,zafemy,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,eluryng,modulator
ethinylestradiol,contraceptive,ethinylestradiol,eluryng,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,twirla 3 count weekly patch,modulator
ethinylestradiol,contraceptive,ethinylestradiol,twirla 3 count weekly patch,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,xulane,modulator
ethinylestradiol,contraceptive,ethinylestradiol,xulane,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,junel fe 24 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,junel fe 24 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,yaz 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,yaz 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,larissia 28 day pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,larissia 28 day pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,hailey 24 fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,hailey 24 fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,brevicon,modulator
ethinylestradiol,contraceptive,ethinylestradiol,brevicon,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,synphasic,modulator
ethinylestradiol,contraceptive,ethinylestradiol,synphasic,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cesia 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cesia 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,vienva 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,vienva 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,balziva 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,balziva 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,yasmin 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,yasmin 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,reclipsen,modulator
ethinylestradiol,contraceptive,ethinylestradiol,reclipsen,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,alyacen 7/7/7,modulator
ethinylestradiol,contraceptive,ethinylestradiol,alyacen 7/7/7,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,philith 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,philith 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,mili 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,mili 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-mili 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-mili 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,kurvelo,modulator
ethinylestradiol,contraceptive,ethinylestradiol,kurvelo,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,marvelon,modulator
ethinylestradiol,contraceptive,ethinylestradiol,marvelon,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,kalliga,modulator
ethinylestradiol,contraceptive,ethinylestradiol,kalliga,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lo-zumandimine 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lo-zumandimine 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,pimtrea pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,pimtrea pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,min-ovral,modulator
ethinylestradiol,contraceptive,ethinylestradiol,min-ovral,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,hailey fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,hailey fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nortrel 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nortrel 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,portia 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,portia 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,taysofy 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,taysofy 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,orsythia 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,orsythia 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,loestrin 1.5/30 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,loestrin 1.5/30 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,loryna,modulator
ethinylestradiol,contraceptive,ethinylestradiol,loryna,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lomedia 24 fe,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lomedia 24 fe,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,yasmin,modulator
ethinylestradiol,contraceptive,ethinylestradiol,yasmin,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,pirmella 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,pirmella 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,blisovi 24 fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,blisovi 24 fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lo simpesse,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lo simpesse,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tydemy 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tydemy 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,ortho tri-cyclen 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,ortho tri-cyclen 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,microgestin fe 1.5/30 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,microgestin fe 1.5/30 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,aranelle 28,modulator
ethinylestradiol,contraceptive,ethinylestradiol,aranelle 28,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,kelnor 1/50 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,kelnor 1/50 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tarina 24 fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tarina 24 fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,freya,modulator
ethinylestradiol,contraceptive,ethinylestradiol,freya,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,junel fe 1.5/30 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,junel fe 1.5/30 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,larin fe 1.5/30,modulator
ethinylestradiol,contraceptive,ethinylestradiol,larin fe 1.5/30,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,loseasonique,modulator
ethinylestradiol,contraceptive,ethinylestradiol,loseasonique,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,vylibra 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,vylibra 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nylia 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nylia 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,necon 0.5/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,necon 0.5/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nikki 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nikki 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,sronyx 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,sronyx 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,linessa,modulator
ethinylestradiol,contraceptive,ethinylestradiol,linessa,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,loestrin fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,loestrin fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,aviane 28,modulator
ethinylestradiol,contraceptive,ethinylestradiol,aviane 28,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,hailey fe 1.5/30 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,hailey fe 1.5/30 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,junel fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,junel fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,microgestin 1.5/30 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,microgestin 1.5/30 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,loestrin 24 fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,loestrin 24 fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,rhuzdah 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,rhuzdah 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,apri 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,apri 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,syeda 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,syeda 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,taytulla 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,taytulla 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,minastrin 24 fe chewable 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,minastrin 24 fe chewable 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,beyaz 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,beyaz 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,larin fe 1/20,modulator
ethinylestradiol,contraceptive,ethinylestradiol,larin fe 1/20,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,necon 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,necon 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cyonanz 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cyonanz 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,jolessa 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,jolessa 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,amethia 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,amethia 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,blisovi 21 fe 1/20 28 day pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,blisovi 21 fe 1/20 28 day pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,briellyn 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,briellyn 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,caziant 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,caziant 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lutera 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lutera 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,necon 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,necon 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-estarylla 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-estarylla 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,fyavolv,modulator
ethinylestradiol,contraceptive,ethinylestradiol,fyavolv,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,enskyce 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,enskyce 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,ortho tri-cyclen lo 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,ortho tri-cyclen lo 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,safyral 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,safyral 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,zovia 1/35e 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,zovia 1/35e 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,diane,modulator
ethinylestradiol,contraceptive,ethinylestradiol,diane,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tilia fe,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tilia fe,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nuvaring,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nuvaring,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,setlakin 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,setlakin 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,ocella 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,ocella 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lo/ovral 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lo/ovral 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,aurovela fe,modulator
ethinylestradiol,contraceptive,ethinylestradiol,aurovela fe,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,levora 0.15/30 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,levora 0.15/30 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,seasonique,modulator
ethinylestradiol,contraceptive,ethinylestradiol,seasonique,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-vylibra 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-vylibra 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,jinteli,modulator
ethinylestradiol,contraceptive,ethinylestradiol,jinteli,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,melodetta 24 fe chewable 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,melodetta 24 fe chewable 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,camreselo 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,camreselo 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lillow 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lillow 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,mononessa 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,mononessa 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,sprintec 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,sprintec 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,viorele 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,viorele 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,chateal 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,chateal 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,annovera,modulator
ethinylestradiol,contraceptive,ethinylestradiol,annovera,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,ortho-novum 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,ortho-novum 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,zarah,modulator
ethinylestradiol,contraceptive,ethinylestradiol,zarah,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,falmina 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,falmina 28 day,modulator
mifepristone,diabetes,mifepristone,korlym,modulator
aptazapine,depression,aptazapine,,antagonist
cimicoxib,depression,cimicoxib,cimalgex,modulator
agomelatine,depression,agomelatine,thymanax,agonist
agomelatine,depression,agomelatine,valdoxan,agonist
amineptine,depression,amineptine,maneon,inhibitor
amineptine,depression,amineptine,survector (servier),inhibitor
amineptine,depression,amineptine,directim* viaspera*provector*neolior,inhibitor
amitriptyline,depression,amitriptyline,amitid,inhibitor
amitriptyline,depression,amitriptyline,elavil* limbitrol*amitriptyline hydrochloride*endep*triavil,inhibitor
amoxapine,depression,amoxapine,asendin*amoxapine*amoxan,inhibitor
amoxapine,anxiety,amoxapine,asendin*amoxapine*amoxan,inhibitor
amoxapine,psychotic disorders,amoxapine,asendin*amoxapine*amoxan,inhibitor
benactyzine,depression,benactyzine,morcain,antagonist
benactyzine,anxiety,benactyzine,morcain,antagonist
benactyzine,depression,benactyzine,cedad*parasan*nutinal*phobex*lucidil*cevanol*suavitil* phebex*deprol,antagonist
benactyzine,anxiety,benactyzine,cedad*parasan*nutinal*phobex*lucidil*cevanol*suavitil* phebex*deprol,antagonist
brexanolone,depression,brexanolone,zulresso,modulator
brexanolone,depression,brexanolone,zulresso,inhibitor
brexpiprazole,depression,brexpiprazole,rexulti,modulator
brexpiprazole,schizophrenia,brexpiprazole,rexulti,modulator
bupropion,depression,bupropion,contrave*zyban*aplenzin*forfivo*mysimba*budeprion*wellbutrin,inhibitor
citalopram,depression,citalopram,ctp,modulator
citalopram,depression,citalopram,celexa,modulator
clomipramine,obsessive compulsive disorder,clomipramine,anafranil*anapramine*hydiphen,inhibitor
cutamesine,depression,cutamesine,,agonist
cutamesine,stroke,cutamesine,,agonist
desipramine,depression,desipramine,norpramin*desipramine hydrochloride,inhibitor
desvenlafaxine,depression,desvenlafaxine,desvenlafaxine* desveneurax*khedezla,modulator
desvenlafaxine,depression,desvenlafaxine,pristiq,modulator
dextromethorphan,depression,dextromethorphan,dm,modulator
dextromethorphan,depression,dextromethorphan,children's nyquil cold and cough,modulator
dextromethorphan,depression,dextromethorphan,triaminic day time cold & cough,modulator
dextromethorphan,depression,dextromethorphan,coricidin hbp cough and cold,modulator
dextromethorphan,depression,dextromethorphan,robitussin cough & congestion,modulator
dextromethorphan,depression,dextromethorphan,scot-tussin diabetic cf,modulator
dextromethorphan,depression,dextromethorphan,auvelity,modulator
dextromethorphan,depression,dextromethorphan,benylin dm,modulator
dextromethorphan,depression,dextromethorphan,bromfed dm,modulator
dextromethorphan,depression,dextromethorphan,chloraseptic sore throat + cough,modulator
dextromethorphan,depression,dextromethorphan,robitussin nighttime cough dm,modulator
dextromethorphan,depression,dextromethorphan,robitussin 12 hour cough relief,modulator
dextromethorphan,depression,dextromethorphan,mucinex cough,modulator
dextromethorphan,depression,dextromethorphan,broncotron,modulator
dextromethorphan,depression,dextromethorphan,pediacare children's cough and congestion,modulator
dextromethorphan,depression,dextromethorphan,scot-tussin dm,modulator
dextromethorphan,depression,dextromethorphan,mucinex children's cough,modulator
dextromethorphan,depression,dextromethorphan,creomulsion,modulator
dextromethorphan,depression,dextromethorphan,delsym cough relief plus soothing action,modulator
dextromethorphan,depression,dextromethorphan,delsym,modulator
dextromethorphan,depression,dextromethorphan,robitussin pediatric cough & cold la,modulator
dextromethorphan,depression,dextromethorphan,delsym cough plus soothing action,modulator
dextromethorphan,depression,dextromethorphan,dayquil cough,modulator
dextromethorphan,depression,dextromethorphan,dimetapp long acting cough plus cold,modulator
dextromethorphan,depression,dextromethorphan,tusnel diabetic,modulator
dextromethorphan,depression,dextromethorphan,mucinex dm,modulator
dextromethorphan,depression,dextromethorphan,diabetic tussin dm,modulator
dextromethorphan,depression,dextromethorphan,cepacol sore throat plus cough,modulator
dextromethorphan,depression,dextromethorphan,robafen dm,modulator
dextromethorphan,depression,dextromethorphan,promethazine dm,modulator
dextromethorphan,depression,dextromethorphan,scot-tussin sugar free dm,modulator
dextromethorphan,depression,dextromethorphan,coricidin hbp chest congestion,modulator
dextromethorphan,depression,dextromethorphan,safetussin pm,modulator
dextromethorphan,depression,dextromethorphan,despec reformulated jun 2008,modulator
dextromethorphan,depression,dextromethorphan,delsym cough plus chest congestion dm,modulator
dextromethorphan,depression,dextromethorphan,diphen,modulator
dextromethorphan,depression,dextromethorphan,sudafed pe children's cold & cough,modulator
dextromethorphan,depression,dextromethorphan,g-zyncof,modulator
dextromethorphan,depression,dextromethorphan,nyquil cough,modulator
dextromethorphan,depression,dextromethorphan,robafen cough,modulator
dextromethorphan,depression,dextromethorphan,cheracol d,modulator
dextromethorphan,depression,dextromethorphan,safetussin dm,modulator
dextromethorphan,depression,dextromethorphan,robitussin maximum strength cough plus chest congestion dm,modulator
dextromethorphan,depression,dextromethorphan,robitussin pediatric cough suppressant,modulator
dextromethorphan,depression,dextromethorphan,nuedexta,modulator
doxepin,depression,doxepin,silenor*zonalon,inhibitor
doxepin,anxiety,doxepin,silenor*zonalon,inhibitor
doxepin,psychotic disorders,doxepin,silenor*zonalon,inhibitor
doxepin,alcohol addiction,doxepin,silenor*zonalon,inhibitor
doxepin,depression,doxepin,prudoxin* sinequan,inhibitor
doxepin,anxiety,doxepin,prudoxin* sinequan,inhibitor
doxepin,psychotic disorders,doxepin,prudoxin* sinequan,inhibitor
doxepin,alcohol addiction,doxepin,prudoxin* sinequan,inhibitor
duloxetine,depression,duloxetine,drizalma*irenka*duloxetine hydrochloride*nodetrip*yentreve,inhibitor
duloxetine,anxiety,duloxetine,drizalma*irenka*duloxetine hydrochloride*nodetrip*yentreve,inhibitor
duloxetine,diabetes,duloxetine,drizalma*irenka*duloxetine hydrochloride*nodetrip*yentreve,inhibitor
duloxetine,depression,duloxetine,cymbalta*ariclaim*drizalma sprinkle,inhibitor
duloxetine,anxiety,duloxetine,cymbalta*ariclaim*drizalma sprinkle,inhibitor
duloxetine,diabetes,duloxetine,cymbalta*ariclaim*drizalma sprinkle,inhibitor
escitalopram,depression,escitalopram,escitalopram*lexapro,inhibitor
escitalopram,anxiety,escitalopram,escitalopram*lexapro,inhibitor
escitalopram,depression,escitalopram,cipralex,inhibitor
escitalopram,anxiety,escitalopram,cipralex,inhibitor
esketamine,depression,esketamine,spravato,antagonist
fluoxetine,depression,fluoxetine,sarafem,modulator
fluoxetine,panic disorders,fluoxetine,sarafem,modulator
fluoxetine,bipolar disorder,fluoxetine,sarafem,modulator
fluoxetine,bulimia,fluoxetine,sarafem,modulator
fluoxetine,depression,fluoxetine,act fluoxetine* prozac*symbyax,modulator
fluoxetine,panic disorders,fluoxetine,act fluoxetine* prozac*symbyax,modulator
fluoxetine,bipolar disorder,fluoxetine,act fluoxetine* prozac*symbyax,modulator
fluoxetine,bulimia,fluoxetine,act fluoxetine* prozac*symbyax,modulator
fluvoxamine,depression,fluvoxamine,fluvoxamine maleate*luvox,inhibitor
fluvoxamine,obsessive compulsive disorder,fluvoxamine,fluvoxamine maleate*luvox,inhibitor
gamma hydroxybutyric acid,depression,gamma-hydroxybutyric acid,xywav,modulator
gamma hydroxybutyric acid,insomnia,gamma-hydroxybutyric acid,xywav,modulator
gamma hydroxybutyric acid,narcolepsy,gamma-hydroxybutyric acid,xywav,modulator
gamma hydroxybutyric acid,alcohol addiction,gamma-hydroxybutyric acid,xywav,modulator
gamma hydroxybutyric acid,anesthetic,gamma-hydroxybutyric acid,xywav,modulator
imipramine,depression,imipramine,imipramine pamoate*surmontil* presamine*tofranil-pm*trimipramine maleate*imipramine hydrochloride,inhibitor
